#logIe_J  logsigma  logRe_J  logIe_J_err  logsigma_err  logRe_J_err  weights
  3.55      2.334      -0.04     0.09       0.049       0.061      2.004008   
  3.286     2.236      0.192     0.069      0.074       0.047      1.010101   
  2.961     2.229      0.429     0.087      0.093       0.059      1.0        
  3.03      2.173      0.302     0.048      0.034       0.032      1.1389521  
  3.49      2.354      0.0050    0.088      0.044       0.059      1.8115942  
  3.183     2.378      0.308     0.081      0.044       0.055      1.0        
  3.297     2.167      0.196     0.077      0.075       0.052      1.0        
  3.47      2.225      -0.165    0.081      0.131       0.055      6.0240965  
  3.308     2.191      0.159     0.093      0.065       0.063      1.2453301  
  3.212     2.088      0.09      0.054      0.055       0.036      2.5906734  
  2.995     2.237      0.299     0.086      0.053       0.058      1.3386881  
  2.96      2.24       0.255     0.085      0.081       0.057      1.9646366  
  3.291     2.278      0.166     0.048      0.033       0.032      1.1792454  
  3.083     2.352      0.36      0.087      0.053       0.059      1.0        
  2.967     2.413      0.662     0.048      0.017       0.032      1.0        
  3.487     2.117      -0.0060   0.094      0.08        0.064      1.9531249  
  3.282     2.318      0.31      0.058      0.024       0.039      1.0        
  3.234     2.273      0.219     0.094      0.051       0.064      1.0351967  
  2.907     2.192      0.446     0.087      0.051       0.059      1.0        
  3.059     2.314      0.357     0.084      0.041       0.056      1.0        
  3.525     2.132      -0.12     0.091      0.094       0.061      3.7878788  
  3.528     2.392      0.123     0.048      0.029       0.032      1.0        
  3.651     2.254      -0.297    0.088      0.035       0.059      8.264462   
  3.102     2.331      0.399     0.082      0.056       0.055      1.0        
  2.933     2.212      0.402     0.048      0.024       0.032      1.0        
  3.279     2.154      0.207     0.048      0.028       0.032      1.0        
  3.425     2.472      0.285     0.075      0.066       0.051      1.0        
  3.128     2.295      0.362     0.084      0.053       0.056      1.0        
  2.951     2.195      0.394     0.077      0.067       0.052      1.0        
  3.304     2.304      0.247     0.088      0.045       0.059      1.0        
  3.248     2.295      0.386     0.059      0.043       0.04       1.0        
  3.015     2.218      0.443     0.081      0.068       0.054      1.0        
  3.422     2.139      -0.0070   0.048      0.025       0.032      2.4570024  
  3.106     2.364      0.563     0.061      0.071       0.041      1.0        
  2.863     2.153      0.44      0.09       0.081       0.06       1.0        
  3.273     2.183      0.149     0.048      0.024       0.032      1.3908206  
  3.223     2.158      0.057     0.048      0.027       0.032      3.058104   
  3.036     2.243      0.308     0.095      0.066       0.064      1.1210762  
  3.445     2.163      0.046     0.08       0.076       0.054      1.5600625  
  3.263     2.195      0.118     0.048      0.02        0.032      1.7605634  
  3.305     2.334      0.282     0.077      0.047       0.052      1.0        
  3.545     2.243      -0.09     0.084      0.039       0.057      2.8011205  
  2.965     2.173      0.373     0.093      0.097       0.063      1.0        
  3.713     2.445      -0.072    0.048      0.027       0.032      1.4204545  
  3.15      2.316      0.361     0.048      0.021       0.032      1.0        
  3.532     2.333      -0.061    0.058      0.026       0.039      2.4390244  
  2.673     2.258      0.827     0.056      0.047       0.038      1.0        
  3.327     2.337      0.172     0.048      0.012       0.032      1.0        
  2.897     2.411      0.355     0.073      0.052       0.049      1.25       
  3.115     2.077      0.195     0.064      0.047       0.043      1.7793595  
  3.181     2.282      0.195     0.074      0.053       0.05       1.3850416  
  3.48      2.267      -0.111    0.086      0.054       0.058      4.016064   
  3.003     2.209      0.362     0.07       0.075       0.047      1.0        
  3.293     2.169      0.115     0.068      0.037       0.046      1.633987   
  3.225     2.203      0.242     0.049      0.03        0.033      1.0        
  3.113     2.327      0.359     0.086      0.065       0.058      1.0        
  2.713     2.074      0.565     0.057      0.067       0.039      1.0        
  3.163     2.242      0.25      0.069      0.027       0.046      1.0245901  
  3.058     2.248      0.335     0.048      0.022       0.032      1.0        
  3.104     2.119      0.24      0.076      0.076       0.051      1.3550136  
  3.174     2.218      0.192     0.092      0.065       0.062      1.6806722  
  3.022     2.281      0.449     0.08       0.052       0.054      1.0        
  3.318     2.416      0.305     0.08       0.031       0.054      1.0        
  2.92      2.304      0.484     0.08       0.035       0.054      1.0        
  2.877     2.28       0.692     0.053      0.031       0.036      1.0        
  3.312     2.252      0.262     0.085      0.044       0.057      1.0        
  3.25      2.184      0.148     0.072      0.045       0.048      1.5243902  
  3.187     2.347      0.412     0.048      0.021       0.032      1.0        
  2.986     2.136      0.4       0.087      0.081       0.059      1.0        
  3.549     2.269      0.269     0.07       0.024       0.047      1.0        
  3.681     2.458      -0.0020   0.086      0.05        0.058      1.0        
  2.903     2.053      0.353     0.057      0.087       0.039      1.216545   
  2.775     2.106      0.488     0.048      0.038       0.032      1.0        
  2.56      2.157      0.522     0.084      0.121       0.056      1.2626263  
  3.431     2.221      -0.104    0.067      0.024       0.045      4.5871563  
  3.459     2.339      0.186     0.048      0.053       0.032      1.0        
  3.264     2.295      0.382     0.075      0.051       0.051      1.0        
  3.313     2.416      0.126     0.081      0.055       0.054      1.4306152  
  2.93      2.31       0.665     0.048      0.028       0.032      1.0        
  3.266     2.292      0.345     0.072      0.023       0.048      1.0        
  3.277     2.108      0.197     0.093      0.082       0.063      1.0460252  
  2.911     2.152      0.312     0.054      0.04        0.037      1.5772871  
  3.429     2.212      -0.0020   0.084      0.062       0.057      2.2935781  
