#logIe_J  logsigma  logRe_J  logIe_J_err  logsigma_err  logRe_J_err  weights
  2.818     2.268      0.625     0.066      0.045       0.044      1.0        
  3.46      2.173      0.019     0.076      0.128       0.051      2.2675736  
  3.12      2.378      0.508     0.048      0.032       0.033      1.0        
  3.182     2.287      0.398     0.051      0.037       0.035      1.0        
  3.449     2.321      0.071     0.048      0.02        0.032      1.3755158  
  3.018     2.446      0.395     0.074      0.065       0.05       1.0        
  3.344     2.151      0.187     0.074      0.054       0.05       1.0        
  3.414     2.359      0.185     0.082      0.054       0.056      1.0        
  2.951     2.324      0.563     0.065      0.036       0.044      1.0        
  2.959     2.056      0.484     0.063      0.167       0.042      1.0        
  3.153     2.304      0.401     0.076      0.025       0.051      1.0        
  3.217     2.331      0.357     0.054      0.028       0.037      1.0        
  3.341     2.427      0.386     0.065      0.04        0.044      1.0        
  3.232     2.084      0.156     0.048      0.059       0.032      1.6722409  
  3.254     2.166      0.162     0.095      0.096       0.064      1.4285715  
  2.671     2.337      0.597     0.065      0.082       0.044      1.0        
  2.956     2.298      0.441     0.083      0.106       0.056      1.0        
  3.172     2.267      0.304     0.065      0.045       0.044      1.0        
  2.662     2.134      0.525     0.088      0.146       0.059      1.0        
  2.992     2.187      0.297     0.095      0.065       0.064      1.4409221  
  3.146     2.391      0.378     0.08       0.074       0.054      1.0        
  3.395     2.183      0.237     0.081      0.09        0.055      1.0        
  3.309     2.187      0.194     0.089      0.083       0.06       1.0        
  3.437     2.455      0.117     0.087      0.044       0.059      1.0604453  
  3.083     2.297      0.416     0.048      0.024       0.032      1.0        
  3.185     2.526      0.471     0.062      0.034       0.042      1.0        
  3.086     2.387      0.406     0.076      0.043       0.052      1.0        
  2.826     2.41       0.797     0.049      0.021       0.033      1.0        
  3.173     2.3        0.423     0.071      0.043       0.048      1.0        
  2.759     2.193      0.665     0.072      0.063       0.048      1.0        
  2.947     2.263      0.405     0.048      0.04        0.032      1.0        
  3.255     2.134      0.024     0.081      0.07        0.055      3.5714285  
  3.119     2.156      0.422     0.077      0.065       0.052      1.0        
  3.397     2.124      -0.0040   0.068      0.088       0.046      2.6455028  
  3.542     2.179      -0.069    0.07       0.04        0.048      2.5125628  
  2.908     2.106      0.472     0.079      0.078       0.054      1.0        
  2.976     2.38       0.58      0.065      0.041       0.044      1.0        
  3.162     2.393      0.534     0.062      0.041       0.042      1.0        
  3.181     2.203      0.191     0.059      0.068       0.04       1.5267177  
  2.745     2.128      0.397     0.09       0.127       0.061      1.6420361  
  3.245     2.486      0.577     0.049      0.026       0.033      1.0        
  2.726     2.217      0.545     0.087      0.071       0.059      1.0        
  3.162     2.444      0.56      0.048      0.031       0.032      1.0        
  3.596     2.292      -0.172    0.079      0.053       0.053      4.385965   
  3.234     2.134      0.258     0.085      0.049       0.057      1.0        
  2.971     2.207      0.377     0.087      0.06        0.059      1.0        
  3.541     2.184      -0.122    0.076      0.091       0.051      3.7453184  
  3.001     2.277      0.436     0.084      0.054       0.057      1.0        
  3.467     2.317      0.129     0.048      0.017       0.032      1.0        
  3.168     2.304      0.285     0.097      0.073       0.065      1.049318   
  3.181     2.352      0.376     0.048      0.021       0.032      1.0        
  3.396     2.245      0.156     0.048      0.025       0.032      1.0        
  3.113     2.34       0.525     0.067      0.036       0.045      1.0        
  3.006     2.175      0.33      0.093      0.075       0.063      1.0752689  
  2.698     2.231      0.515     0.096      0.101       0.065      1.0845987  
  2.88      2.11       0.382     0.092      0.066       0.062      1.1547344  
  3.188     2.065      0.114     0.061      0.056       0.041      2.4752474  
  3.053     2.157      0.383     0.08       0.062       0.054      1.0        
  3.117     2.28       0.364     0.084      0.045       0.056      1.0        
  3.309     2.467      0.398     0.063      0.039       0.043      1.0        
  3.358     2.057      0.079     0.093      0.105       0.063      1.7421603  
  3.134     2.275      0.497     0.048      0.054       0.032      1.0        
  3.336     2.357      0.178     0.077      0.036       0.052      1.01833    
  2.724     2.253      0.685     0.064      0.041       0.043      1.0        
  2.844     2.373      0.62      0.073      0.073       0.049      1.0        
  3.357     2.341      0.273     0.076      0.036       0.052      1.0        
  3.182     2.169      0.321     0.072      0.043       0.049      1.0        
  3.323     2.404      0.278     0.077      0.08        0.052      1.0        
  2.959     2.139      0.273     0.091      0.097       0.062      2.173913   
  3.548     2.266      0.067     0.048      0.015       0.032      1.0        
  3.386     2.349      0.227     0.071      0.035       0.048      1.0        
  3.228     2.116      0.205     0.093      0.172       0.063      1.2062726  
  3.171     2.231      0.348     0.067      0.038       0.045      1.0        
  3.033     2.319      0.544     0.063      0.036       0.043      1.0        
  2.488     2.13       0.811     0.063      0.06        0.043      1.0        
  3.17      2.134      0.112     0.074      0.047       0.05       3.236246   
  3.077     2.158      0.352     0.071      0.066       0.048      1.0        
  3.159     2.307      0.273     0.088      0.085       0.06       1.0        
  3.21      2.138      0.091     0.049      0.047       0.033      2.6809652  
  3.374     2.216      0.203     0.084      0.084       0.057      1.0        
  2.835     2.062      0.369     0.075      0.095       0.051      1.472754   
  2.977     2.2        0.394     0.084      0.077       0.057      1.0        
  3.412     2.397      0.278     0.072      0.038       0.048      1.0        
  2.967     2.237      0.583     0.065      0.043       0.044      1.0        
  3.217     2.51       0.363     0.073      0.057       0.049      1.0        
  3.084     2.355      0.397     0.061      0.05        0.041      1.0        
  3.372     2.155      0.125     0.093      0.077       0.063      1.2376237  
  2.84      2.125      0.566     0.048      0.06        0.032      1.0        
  3.305     2.468      0.254     0.048      0.017       0.032      1.0        
  3.032     2.543      0.812     0.048      0.04        0.032      1.0        
  2.983     2.085      0.3       0.057      0.078       0.038      1.3869625  
  3.258     2.247      0.117     0.063      0.056       0.043      1.8867925  
  3.044     2.297      0.422     0.07       0.03        0.047      1.0        
  2.938     2.25       0.505     0.081      0.089       0.054      1.0        
  2.927     2.082      0.323     0.048      0.03        0.032      1.4641287  
  2.805     2.205      0.449     0.094      0.082       0.064      1.0214505  
  2.865     2.11       0.379     0.092      0.075       0.062      1.3003901  
  3.253     2.289      0.305     0.084      0.033       0.057      1.0        
  3.14      2.388      0.312     0.086      0.058       0.058      1.0        
  3.091     2.216      0.307     0.08       0.057       0.054      1.0        
  2.969     2.279      0.385     0.089      0.052       0.06       1.0        
  3.223     2.099      0.176     0.078      0.121       0.052      1.5948964  
  2.682     2.319      0.777     0.063      0.071       0.042      1.0        
  3.53      2.223      0.063     0.093      0.05        0.063      1.1049724  
  2.97      2.216      0.337     0.077      0.121       0.052      1.2180269  
  3.344     2.43       0.395     0.048      0.012       0.032      1.0        
  3.272     2.325      0.379     0.074      0.027       0.05       1.0        
  3.123     2.316      0.499     0.071      0.065       0.048      1.0        
  2.475     2.2        0.712     0.081      0.076       0.055      1.0        
  3.53      2.086      -0.101    0.048      0.027       0.032      3.4246576  
  3.39      2.363      0.136     0.048      0.013       0.032      1.059322   
  2.65      2.338      0.701     0.074      0.04        0.05       1.0        
  2.826     2.196      0.604     0.069      0.059       0.046      1.0        
  2.58      2.237      0.708     0.074      0.05        0.05       1.0        
  3.164     2.394      0.452     0.072      0.036       0.049      1.0        
  3.096     2.153      0.409     0.076      0.111       0.051      1.0        
  2.663     2.256      0.59      0.087      0.081       0.059      1.0        
  3.279     2.272      0.303     0.077      0.084       0.052      1.0        
  2.825     2.182      0.531     0.084      0.069       0.057      1.0        
  3.109     2.436      0.416     0.08       0.03        0.054      1.0        
  3.172     2.1        0.161     0.063      0.056       0.042      1.8382351  
  3.164     2.478      0.609     0.048      0.018       0.032      1.0        
  2.865     2.364      0.751     0.054      0.035       0.036      1.0        
  3.104     2.205      0.312     0.093      0.081       0.063      1.0        
  3.23      2.219      0.278     0.07       0.092       0.047      1.0        
  2.994     2.08       0.0040    0.091      0.059       0.061      10.10101   
  3.177     2.315      0.501     0.063      0.038       0.043      1.0        
  2.453     2.269      0.916     0.057      0.083       0.039      1.0        
  3.039     2.211      0.433     0.067      0.036       0.045      1.0        
  3.046     2.289      0.483     0.073      0.038       0.05       1.0        
  2.845     2.256      0.541     0.082      0.095       0.055      1.0        
  3.104     2.358      0.595     0.048      0.018       0.032      1.0        
  2.889     2.117      0.339     0.08       0.091       0.054      1.5337423  
  3.197     2.371      0.339     0.059      0.06        0.04       1.0        
  2.671     2.094      0.534     0.088      0.113       0.059      1.0        
  3.501     2.342      0.112     0.087      0.064       0.059      1.0        
  3.278     2.502      0.362     0.07       0.064       0.047      1.0        
  2.939     2.408      0.648     0.057      0.026       0.038      1.0        
  2.92      2.258      0.738     0.048      0.032       0.032      1.0        
  2.829     2.324      0.667     0.064      0.084       0.043      1.0        
  3.172     2.44       0.378     0.075      0.055       0.051      1.0        
  3.176     2.369      0.474     0.048      0.022       0.032      1.0        
  2.931     2.306      0.489     0.078      0.057       0.053      1.0        
  3.393     2.134      0.19      0.084      0.066       0.057      1.0        
  2.547     2.18       0.553     0.058      0.065       0.039      1.3210039  
  3.211     2.328      0.471     0.048      0.059       0.032      1.0        
  3.386     2.255      0.204     0.086      0.089       0.058      1.0        
  3.053     2.179      0.397     0.058      0.118       0.039      1.0        
  3.056     2.105      0.398     0.072      0.07        0.049      1.0        
  3.286     2.397      0.417     0.05       0.024       0.034      1.0        
  3.311     2.284      0.15      0.094      0.089       0.064      1.2771392  
  3.504     2.124      -0.062    0.081      0.045       0.055      2.9069767  
  3.13      2.226      0.301     0.09       0.067       0.061      1.0        
  3.432     2.491      0.326     0.066      0.034       0.044      1.0        
  3.308     2.373      0.256     0.081      0.04        0.055      1.0        
  2.914     2.101      0.376     0.076      0.071       0.051      1.0775863  
  2.984     2.159      0.373     0.086      0.078       0.058      1.0        
  2.98      2.358      0.566     0.056      0.063       0.038      1.0        
  3.437     2.342      0.062     0.088      0.041       0.06       1.5479876  
  3.06      2.405      0.564     0.048      0.041       0.032      1.0        
  3.203     2.254      0.422     0.057      0.055       0.038      1.0        
  3.294     2.357      0.265     0.049      0.039       0.033      1.0        
  3.183     2.301      0.355     0.068      0.045       0.046      1.0        
  2.857     2.209      0.636     0.051      0.068       0.035      1.0        
  3.183     2.246      0.249     0.074      0.046       0.05       1.010101   
  3.058     2.084      0.221     0.064      0.108       0.043      1.8691587  
  3.655     2.479      0.105     0.048      0.012       0.032      1.0        
  2.67      2.133      0.553     0.048      0.021       0.032      1.0        
  3.224     2.247      0.395     0.076      0.038       0.051      1.0        
  3.113     2.164      0.39      0.082      0.104       0.056      1.0        
  3.356     2.355      0.283     0.08       0.056       0.054      1.0        
  3.316     2.353      0.195     0.092      0.039       0.062      1.0        
  3.403     2.348      0.289     0.058      0.067       0.039      1.0        
  3.389     2.304      0.361     0.048      0.014       0.032      1.0        
  3.32      2.301      0.221     0.048      0.021       0.032      1.0        
  2.992     2.241      0.493     0.048      0.039       0.032      1.0        
  2.997     2.435      0.538     0.07       0.039       0.047      1.0        
  2.959     2.296      0.547     0.068      0.062       0.046      1.0        
  3.162     2.157      0.247     0.048      0.039       0.032      1.1682243  
  3.242     2.135      0.239     0.087      0.1         0.059      1.0        
  3.281     2.123      0.292     0.078      0.049       0.053      1.0        
  3.04      2.372      0.504     0.069      0.034       0.046      1.0        
  2.918     2.541      0.783     0.048      0.028       0.032      1.0        
  3.239     2.421      0.431     0.05       0.047       0.034      1.0        
  3.153     2.313      0.362     0.054      0.03        0.037      1.0        
  2.554     2.137      0.81      0.065      0.101       0.044      1.0        
  3.412     2.32       0.124     0.092      0.066       0.062      1.1037527  
  3.13      2.245      0.387     0.055      0.061       0.037      1.0        
  2.518     2.051      0.711     0.08       0.166       0.054      1.0        
  3.356     2.381      0.261     0.048      0.024       0.032      1.0        
  3.336     2.45       0.427     0.048      0.018       0.032      1.0        
  3.303     2.116      0.173     0.048      0.026       0.032      1.1834319  
  3.119     2.14       0.4       0.082      0.123       0.055      1.0        
  3.261     2.293      0.162     0.087      0.042       0.059      1.6528925  
  3.189     2.078      -0.037    0.085      0.106       0.057      6.9930067  
  2.493     2.063      0.724     0.075      0.208       0.051      1.0        
  3.365     2.393      0.352     0.048      0.024       0.032      1.0        
  3.357     2.363      0.338     0.074      0.049       0.05       1.0        
  3.466     2.066      -0.126    0.082      0.2         0.055      4.9751244  
  2.783     2.275      0.613     0.071      0.05        0.048      1.0        
  3.055     2.31       0.323     0.089      0.046       0.06       1.0        
  3.188     2.3        0.202     0.078      0.038       0.053      1.3280212  
  2.944     2.495      0.809     0.048      0.047       0.032      1.0        
  3.014     2.233      0.563     0.069      0.113       0.047      1.0        
  2.897     2.32       0.341     0.06       0.04        0.04       1.4367816  
  3.321     2.407      0.328     0.075      0.053       0.051      1.0        
  3.579     2.332      0.043     0.082      0.038       0.055      1.1363636  
  3.068     2.39       0.443     0.048      0.028       0.032      1.0        
  2.985     2.369      0.589     0.061      0.048       0.041      1.0        
  3.176     2.31       0.416     0.057      0.041       0.038      1.0        
  3.376     2.195      -0.194    0.095      0.112       0.064      11.111111  
  3.138     2.118      0.261     0.055      0.046       0.037      1.0928961  
  3.17      2.097      0.034     0.08       0.059       0.054      4.4444447  
  3.288     2.2        0.028     0.062      0.046       0.042      3.0674846  
  3.163     2.195      0.296     0.086      0.085       0.058      1.0        
  3.012     2.304      0.475     0.079      0.067       0.054      1.0        
  3.161     2.122      0.094     0.081      0.077       0.055      3.0959752  
  2.827     2.305      0.7       0.059      0.039       0.04       1.0        
  3.076     2.468      0.604     0.048      0.022       0.032      1.0        
  3.352     2.243      0.102     0.072      0.044       0.049      1.5197569  
  3.332     2.366      0.248     0.051      0.023       0.035      1.0        
  3.152     2.377      0.505     0.05       0.025       0.033      1.0        
  3.245     2.383      0.197     0.048      0.03        0.032      1.1778563  
  3.583     2.209      0.13      0.066      0.042       0.044      1.0        
  3.141     2.403      0.467     0.048      0.021       0.032      1.0        
  2.911     2.486      0.785     0.048      0.044       0.032      1.0        
  3.192     2.336      0.362     0.071      0.03        0.048      1.0        
  3.253     2.35       0.353     0.055      0.026       0.037      1.0        
  3.391     2.318      0.144     0.091      0.061       0.061      1.0277492  
  3.069     2.139      0.321     0.054      0.043       0.036      1.0        
  3.337     2.487      0.456     0.057      0.025       0.039      1.0        
  2.859     2.112      0.468     0.085      0.103       0.057      1.0        
  3.13      2.244      0.266     0.093      0.077       0.063      1.1037527  
  3.228     2.353      0.253     0.091      0.033       0.061      1.0        
  3.528     2.29       0.052     0.057      0.04        0.038      1.216545   
  3.055     2.443      0.665     0.049      0.024       0.033      1.0        
  2.981     2.275      0.366     0.09       0.052       0.06       1.0        
  3.292     2.205      0.257     0.048      0.02        0.032      1.0        
  3.306     2.148      0.153     0.059      0.161       0.04       1.2953367  
  3.355     2.434      0.352     0.048      0.021       0.032      1.0        
  3.118     2.256      0.276     0.089      0.065       0.06       1.0729614  
  3.275     2.334      0.34      0.063      0.031       0.043      1.0        
  2.795     2.184      0.687     0.048      0.045       0.032      1.0        
  3.229     2.297      0.33      0.076      0.031       0.052      1.0        
  2.967     2.4        0.513     0.055      0.039       0.037      1.0        
  3.312     2.234      0.133     0.095      0.083       0.064      1.4450867  
  3.222     2.237      0.162     0.082      0.034       0.055      1.5923567  
  3.494     2.142      -0.041    0.067      0.081       0.045      2.4752474  
  3.31      2.274      0.171     0.09       0.052       0.061      1.1312218  
  3.331     2.325      0.23      0.06       0.029       0.04       1.0        
  3.18      2.222      0.255     0.09       0.041       0.061      1.0        
  3.218     2.381      0.533     0.055      0.029       0.037      1.0        
  3.253     2.172      0.258     0.068      0.052       0.046      1.0        
  3.529     2.101      -0.087    0.06       0.041       0.04       3.0959752  
  3.408     2.397      0.197     0.048      0.02        0.032      1.0        
  3.041     2.195      0.443     0.048      0.045       0.032      1.0        
  3.156     2.325      0.44      0.051      0.029       0.034      1.0        
  2.912     2.386      0.704     0.05       0.032       0.034      1.0        
  2.741     2.21       0.541     0.048      0.049       0.032      1.0        
  2.921     2.364      0.605     0.048      0.021       0.032      1.0        
  2.52      2.154      0.754     0.048      0.041       0.032      1.0        
  3.327     2.29       0.165     0.09       0.04        0.061      1.0964912  
  3.11      2.266      0.498     0.048      0.021       0.032      1.0        
  2.972     2.364      0.561     0.048      0.072       0.032      1.0        
  3.233     2.351      0.31      0.06       0.059       0.041      1.0        
  3.196     2.384      0.391     0.077      0.03        0.052      1.0        
  3.069     2.393      0.402     0.048      0.023       0.032      1.0        
  3.275     2.413      0.239     0.077      0.029       0.052      1.0        
  3.243     2.378      0.317     0.083      0.058       0.056      1.0        
  3.032     2.28       0.467     0.077      0.047       0.052      1.0        
  3.241     2.144      0.362     0.055      0.04        0.037      1.0        
  2.803     2.273      0.58      0.055      0.031       0.037      1.0        
  3.223     2.506      0.545     0.048      0.016       0.032      1.0        
  3.196     2.087      -0.0050   0.08       0.059       0.054      5.319149   
  3.373     2.254      0.242     0.078      0.051       0.053      1.0        
  3.043     2.178      0.545     0.064      0.057       0.044      1.0        
  3.236     2.518      0.583     0.048      0.022       0.032      1.0        
  3.159     2.06       0.225     0.093      0.081       0.063      1.3003901  
  2.558     2.314      0.853     0.056      0.05        0.038      1.0        
  3.172     2.31       0.365     0.048      0.026       0.032      1.0        
  3.016     2.202      0.358     0.088      0.069       0.06       1.0        
  3.205     2.133      0.212     0.091      0.08        0.062      1.2391574  
  3.198     2.154      0.163     0.083      0.043       0.056      1.7035775  
  3.604     2.335      -0.091    0.066      0.023       0.044      2.3696682  
  3.151     2.201      0.304     0.087      0.056       0.059      1.0        
  2.933     2.332      0.611     0.063      0.071       0.043      1.0        
  3.011     2.388      0.605     0.054      0.06        0.037      1.0        
  3.38      2.142      0.119     0.077      0.037       0.052      1.2453301  
  2.982     2.157      0.459     0.048      0.03        0.032      1.0        
  3.027     2.482      0.744     0.048      0.029       0.032      1.0        
  3.387     2.265      0.13      0.052      0.025       0.035      1.1185682  
  3.239     2.333      0.343     0.059      0.023       0.04       1.0        
  3.342     2.202      0.155     0.09       0.055       0.061      1.1261262  
  3.227     2.284      0.262     0.084      0.035       0.057      1.0        
  3.101     2.265      0.443     0.048      0.017       0.032      1.0        
  2.787     2.472      0.819     0.048      0.026       0.032      1.0        
  2.719     2.302      0.8       0.048      0.037       0.032      1.0        
  2.986     2.414      0.62      0.059      0.039       0.04       1.0        
  3.318     2.335      0.342     0.048      0.041       0.032      1.0        
  3.597     2.319      0.018     0.057      0.042       0.039      1.2091898  
  3.309     2.284      -0.028    0.052      0.031       0.035      4.2016807  
  3.062     2.083      0.262     0.082      0.104       0.055      1.459854   
  3.105     2.264      0.397     0.078      0.041       0.053      1.0        
  3.51      2.369      0.0030    0.064      0.076       0.044      1.7857143  
  2.911     2.258      0.46      0.081      0.047       0.055      1.0        
  3.671     2.307      -0.178    0.096      0.038       0.064      3.4722223  
  3.31      2.126      0.24      0.081      0.097       0.055      1.0        
  2.994     2.359      0.562     0.048      0.021       0.032      1.0        
  2.943     2.061      0.152     0.081      0.093       0.054      4.4642854  
  3.607     2.234      0.048     0.086      0.089       0.058      1.0        
  3.065     2.455      0.562     0.058      0.063       0.039      1.0        
  3.562     2.25       0.066     0.048      0.019       0.032      1.0        
  3.187     2.25       0.225     0.048      0.032       0.032      1.2224939  
  3.041     2.345      0.595     0.055      0.036       0.037      1.0        
  3.207     2.242      0.354     0.071      0.057       0.048      1.0        
  2.67      2.36       0.833     0.052      0.049       0.035      1.0        
  3.32      2.314      0.284     0.079      0.084       0.053      1.0        
  3.314     2.306      0.285     0.079      0.068       0.053      1.0        
  3.18      2.26       0.326     0.064      0.031       0.043      1.0        
  3.028     2.472      0.516     0.069      0.031       0.046      1.0        
  3.487     2.36       0.19      0.081      0.04        0.054      1.0        
  3.074     2.172      0.281     0.076      0.096       0.051      1.1695906  
  3.114     2.316      0.522     0.063      0.086       0.042      1.0        
  3.151     2.159      0.258     0.092      0.09        0.062      1.0706638  
  3.441     2.391      0.206     0.081      0.044       0.055      1.0        
  3.148     2.345      0.452     0.069      0.059       0.047      1.0        
  2.748     2.13       0.518     0.086      0.059       0.058      1.0        
  3.487     2.307      0.0060    0.089      0.061       0.06       1.8726592  
  2.854     2.376      0.633     0.065      0.029       0.044      1.0        
  3.137     2.258      0.263     0.056      0.063       0.038      1.098901   
  3.059     2.425      0.624     0.054      0.018       0.036      1.0        
  2.762     2.123      0.69      0.062      0.064       0.042      1.0        
  3.344     2.193      0.08      0.066      0.047       0.044      1.8867925  
  3.092     2.137      0.255     0.059      0.073       0.04       1.3245033  
  3.02      2.419      0.6       0.048      0.02        0.032      1.0        
  2.921     2.202      0.598     0.065      0.096       0.044      1.0        
  3.063     2.309      0.394     0.081      0.058       0.055      1.0        
  2.788     2.475      0.957     0.048      0.032       0.032      1.0        
  2.767     2.223      0.697     0.063      0.047       0.042      1.0        
  2.716     2.059      0.338     0.091      0.094       0.061      2.6666667  
  3.47      2.144      0.061     0.048      0.055       0.032      1.4144272  
  3.351     2.274      0.253     0.081      0.028       0.055      1.0        
  3.284     2.462      0.209     0.091      0.054       0.061      1.0        
  3.288     2.065      0.131     0.05       0.045       0.034      1.6        
  3.061     2.238      0.328     0.089      0.104       0.06       1.0        
  3.142     2.329      0.242     0.095      0.058       0.064      1.2269939  
  2.961     2.336      0.35      0.093      0.076       0.063      1.0976949  
  3.737     2.177      -0.29     0.054      0.037       0.037      5.8479533  
  3.269     2.101      -0.209    0.092      0.095       0.062      18.518518  
  3.53      2.378      0.147     0.083      0.04        0.056      1.0        
  3.166     2.44       0.285     0.048      0.022       0.032      1.0        
  3.228     2.362      0.168     0.094      0.046       0.064      1.5060241  
  3.218     2.273      0.299     0.084      0.046       0.057      1.0        
  3.486     2.351      0.046     0.08       0.036       0.054      1.4224751  
  3.47      2.153      0.074     0.092      0.094       0.062      1.2771392  
  3.46      2.341      -0.01     0.083      0.04        0.056      2.3364487  
  3.486     2.114      0.075     0.094      0.118       0.064      1.1890606  
  3.007     2.193      0.417     0.082      0.061       0.055      1.0        
  3.116     2.058      0.216     0.052      0.039       0.035      1.5748031  
  3.306     2.269      0.249     0.084      0.06        0.057      1.0        
  2.707     2.298      0.717     0.06       0.039       0.041      1.0        
  3.046     2.239      0.355     0.087      0.066       0.059      1.0        
  3.306     2.372      0.277     0.067      0.031       0.045      1.0        
  2.976     2.325      0.432     0.082      0.066       0.055      1.0        
  3.737     2.113      -0.164    0.094      0.119       0.064      2.5575447  
  3.034     2.297      0.501     0.07       0.041       0.047      1.0        
  3.55      2.336      0.041     0.081      0.073       0.055      1.2121212  
  2.582     2.322      0.897     0.052      0.03        0.035      1.0        
  3.303     2.352      0.225     0.087      0.055       0.059      1.0        
  3.471     2.326      0.226     0.077      0.03        0.052      1.0        
  3.064     2.126      0.0090    0.078      0.084       0.052      7.8740153  
  3.406     2.473      0.411     0.053      0.02        0.036      1.0        
  3.171     2.23       0.259     0.077      0.057       0.052      1.0298661  
  3.037     2.369      0.477     0.048      0.026       0.032      1.0        
  2.979     2.469      0.71      0.048      0.027       0.033      1.0        
  3.005     2.264      0.342     0.091      0.06        0.061      1.0030091  
  3.129     2.325      0.379     0.083      0.049       0.056      1.0        
  2.82      2.055      0.271     0.048      0.071       0.032      2.8985507  
  3.034     2.129      0.247     0.051      0.045       0.034      1.7035775  
  3.255     2.323      0.4       0.048      0.015       0.032      1.0        
  3.634     2.174      -0.228    0.08       0.059       0.054      5.4054055  
  3.249     2.16       0.286     0.083      0.126       0.056      1.0        
  3.089     2.104      0.244     0.093      0.145       0.063      1.4992504  
  3.3       2.393      0.441     0.048      0.022       0.032      1.0        
  3.461     2.507      0.174     0.084      0.075       0.057      1.0        
  3.101     2.276      0.294     0.094      0.062       0.063      1.081081   
  3.119     2.232      0.254     0.054      0.041       0.037      1.1990408  
  3.261     2.479      0.379     0.073      0.036       0.05       1.0        
  3.496     2.278      0.032     0.093      0.055       0.063      1.5873016  
  2.909     2.241      0.581     0.059      0.063       0.04       1.0        
  3.278     2.313      0.342     0.075      0.063       0.05       1.0        
  2.895     2.081      0.491     0.062      0.073       0.042      1.0        
  3.335     2.315      0.153     0.094      0.049       0.063      1.172333   
  3.667     2.364      -0.066    0.06       0.029       0.04       1.6286645  
  3.083     2.197      0.352     0.085      0.056       0.057      1.0        
  3.177     2.24       0.259     0.071      0.045       0.048      1.0131712  
  3.269     2.339      0.317     0.059      0.042       0.04       1.0        
  3.13      2.286      0.403     0.048      0.034       0.032      1.0        
  3.094     2.288      0.316     0.048      0.029       0.032      1.0        
  3.171     2.201      0.075     0.077      0.076       0.052      3.448276   
  3.377     2.238      0.289     0.075      0.049       0.051      1.0        
  3.163     2.312      0.323     0.084      0.048       0.057      1.0        
  3.252     2.23       0.261     0.083      0.044       0.056      1.0        
  3.057     2.408      0.53      0.068      0.044       0.046      1.0        
  3.122     2.542      0.699     0.048      0.029       0.032      1.0        
  3.147     2.236      0.345     0.074      0.043       0.05       1.0        
  2.73      2.359      0.741     0.048      0.023       0.032      1.0        
  3.233     2.441      0.356     0.076      0.046       0.051      1.0        
  2.855     2.18       0.398     0.093      0.076       0.063      1.1560694  
  2.957     2.449      0.435     0.087      0.048       0.059      1.0        
  2.594     2.146      0.632     0.082      0.107       0.055      1.0        
  2.725     2.512      0.869     0.048      0.049       0.032      1.0        
  3.093     2.131      0.283     0.095      0.07        0.064      1.1111112  
  3.376     2.075      0.117     0.08       0.086       0.054      1.2804097  
  3.077     2.175      0.246     0.095      0.111       0.064      1.4925373  
  3.326     2.328      0.252     0.082      0.039       0.056      1.0        
  2.855     2.07       0.451     0.087      0.124       0.059      1.0        
  3.169     2.364      0.263     0.086      0.06        0.058      1.0        
  3.148     2.252      0.373     0.077      0.038       0.052      1.0        
  3.091     2.461      0.645     0.052      0.034       0.035      1.0        
  3.128     2.25       0.514     0.063      0.063       0.042      1.0        
  3.395     2.14       0.118     0.08       0.064       0.054      1.1918951  
  2.966     2.293      0.583     0.065      0.03        0.044      1.0        
  2.996     2.181      0.541     0.068      0.052       0.046      1.0        
  2.87      2.358      0.47      0.084      0.049       0.057      1.0        
  2.899     2.294      0.528     0.069      0.038       0.046      1.0        
  3.398     2.199      0.017     0.067      0.051       0.045      2.2573364  
  2.927     2.223      0.621     0.068      0.102       0.046      1.0        
  2.883     2.184      0.548     0.056      0.048       0.038      1.0        
  2.724     2.158      0.401     0.069      0.095       0.047      1.814882   
  3.253     2.19       0.197     0.093      0.073       0.063      1.1494253  
  3.256     2.22       0.261     0.086      0.068       0.058      1.0        
  3.361     2.317      0.136     0.094      0.038       0.064      1.2254902  
  2.932     2.276      0.381     0.051      0.038       0.034      1.0        
  3.553     2.51       0.139     0.085      0.049       0.057      1.0        
  3.165     2.354      0.388     0.076      0.043       0.051      1.0        
  3.016     2.285      0.489     0.073      0.036       0.049      1.0        
  3.067     2.365      0.502     0.07       0.032       0.047      1.0        
  3.429     2.219      0.188     0.048      0.057       0.032      1.0        
  3.117     2.248      0.411     0.061      0.047       0.041      1.0        
  2.903     2.168      0.6       0.05       0.069       0.033      1.0        
  2.436     2.189      0.648     0.091      0.112       0.061      1.0        
  3.235     2.437      0.363     0.075      0.042       0.05       1.0        
  3.038     2.472      0.693     0.048      0.036       0.033      1.0        
  3.295     2.362      0.314     0.079      0.039       0.053      1.0        
  2.836     2.24       0.575     0.074      0.042       0.05       1.0        
  2.942     2.364      0.619     0.059      0.034       0.04       1.0        
  3.397     2.114      0.0080    0.048      0.039       0.032      2.415459   
  2.792     2.205      0.404     0.072      0.062       0.049      1.3642565  
  3.214     2.331      0.331     0.083      0.034       0.056      1.0        
  3.505     2.338      0.0040    0.076      0.038       0.052      1.8416207  
  3.1       2.414      0.375     0.083      0.074       0.056      1.0        
  3.267     2.489      0.531     0.048      0.022       0.032      1.0        
  3.166     2.144      0.184     0.06       0.049       0.041      1.6        
  3.291     2.34       0.361     0.072      0.052       0.049      1.0        
